link,date,date_num,year,month,day,state,city,venue_name,venue_full,run_index,show_index,show_in_run,year_index,venue,is_radio,show_notes,n_songs,is_soundcheck,is_opening_act,weekday,is_fut
http://everydaycompanion.com/setlists/20240725a.asp,2024-07-25,20240725,2024,7,25,NC,ASHEVILLE,CIVIC CENTER,"CIVIC CENTER, ASHEVILLE, NC",1341,3201,1,18,"Civic Center, Asheville, NC",0,,0,0,0,Thursday,1
http://everydaycompanion.com/setlists/20240726a.asp,2024-07-26,20240726,2024,7,26,NC,ASHEVILLE,CIVIC CENTER,"CIVIC CENTER, ASHEVILLE, NC",1341,3202,2,19,"Civic Center, Asheville, NC",0,,0,0,0,Friday,1
http://everydaycompanion.com/setlists/20240727a.asp,2024-07-27,20240727,2024,7,27,NC,ASHEVILLE,CIVIC CENTER,"CIVIC CENTER, ASHEVILLE, NC",1341,3203,3,20,"Civic Center, Asheville, NC",0,,0,0,0,Saturday,1
